tweet,label,
As expected till Monday all blocked sorry it's booked #Bahubali2 https://t.co/8lZu5T6eJZ,0,
"57Crores
#T360APTGBaahubali2 
#Bahubali2 https://t.co/05Cux3nNeB",0,
@JioMusicHD @BuzzingTracks @Rajamouli_Fans @BaahubaliMovie @bahubali_fans @Prabhas_Fans @Darling_PFC @telugu_jokes… https://t.co/qVfw2JhHWt,0,
@ssrajamouli @RGVzoomin whn more sexier is frightened by D ugly thn ugly is more beautiful than #Bahubali2 than the more sexier�,0,
#Saaho get redey to get a glimpse of this film as well while watching the epic #Bahubali2  #Saaho teaser worldwide with Bahubali 2,0,
" Win 50 bahubali2 free movie tickets. Enter now at: https://t.co/CD7h2X3jhD 

#bahubali #movieticket #contest #offer #baahu…",0,
"#Bahubali2  #BahubaliTheConclusion 
AP/tg 1st day gross will be 55- 60crs�",0,
@JioMusicHD @BuzzingTracks @Rajamouli_Fans @BaahubaliMovie @bahubali_fans @Prabhas_Fans @Darling_PFC @telugu_jokes… https://t.co/Ea91ankMXE,0,
" #Bahubali2 Booking started with 8 shows for 28th

Tamil 6 S
Malayalam 2 S

Now

#RakshadhikariBaijuOppu 3 S
#Saghavu 3 S…",0,
@bookmyshow when will tickets be allotted for prebooked registrations for #Bahubali2 ??,1,
@RanaDaggubati Hey checkout my #Bahubali2 funny video. Open this tweet &amp,0,
#Bahubali2 Bangalore ticket prices are reaching Sky-high.,1,
 This is one movie I don't wanna miss. Best wishes for a spectacular opening !  @ssrajamouli @Shobu_ @karanjohar @apoorvam…,1,
#Bahubali2 countdown is equal to my finals countdown..just that one gives you excitement &amp,1,
" #Bahubali 1 (2015) Did
49Cr, Day 1
365Cr Nett India
605Cr Worldwide

What Are Predictions For #Bahubali2 ?",0,
@JioMusicHD @BuzzingTracks @Rajamouli_Fans @BaahubaliMovie @bahubali_fans @Prabhas_Fans @Darling_PFC @telugu_jokes… https://t.co/gompbkDX0F,0,
" #Ulaganayagan #KamalHaasan Tweet � #Sathyaraj !!

#baahubali2 #Bahubali2 https://t.co/NYRk5vuRKt",0,
"Royal King is back ! BaahubaliReturns in style! 

#Bahubali2 #SaahoreBaahubali  #AnushkaShetty #Prabhas… https://t.co/GueLAsbwNj",1,
@FilmyCurry A2) S.S. RAJAMOULI #ContestAlert #Bahubali2WithFC #FilmyCurry #Bahubali2,0,
"4 days to go #Bahubali2  the conclusion 
Waiting for ur Creations @ssrajamouli @RanaDaggubati @prabhas https://t.co/lpoF33HFdv",1,
"If someone see the 1st day 1st show of #Bahubali2  n if he exposes the suspension then what may happened. 
Talware… https://t.co/Ypd8oa8WgD",1,
Tune in all day through next week to win tickets to #MirchiMovieNights - #Bahubali2 https://t.co/XSi1d3bH2C,0,
Every one should have one rule. how come Bahubali2 will get permission for Benefit shows. Pagodu vs Manodu https://t.co/fqUMGjU6LA,0,
"#Bhimavaram 

Rebel Star Fans... 

#Bahubali2 Craze https://t.co/dlnokaS7Fm",0,
@Maheshaddict Ma village lo #Bahubali1 benfit show 300rs #Bahubali2 700rs,0,
 #RCB Total Score &lt,0,
"Why #Prabhas s dressing up n same style hoodie ?? Black, red, blue ... Still darling looks lovvvv #bb2Promotions #Bahubali2",0,
"Watch -- https://t.co/z0b4f8vnmA

#Mahabharata #Mohanlal #Prabhas #baahubali2 #Rajamouli #Bahubali2 #Spyder… https://t.co/A3UDTP91vD",0,
"Book your tickets for #Bahubali2 through https://t.co/A9RXZPxQcY 
Tickets are selling fast https://t.co/KxgMllS8DJ",0,
"@RanaDaggubati Rana garu, you just did opponent character in bahubali and bahubali2 congrats for forthcoming film bahubali2",0,
" Watch -- https://t.co/NbHZAz9DQT 

#duvvadajagannadham #AlluArjun #dj #ramcharan #PSPK25 #baahubali2 #Bahubali2 #JaiLavakusa…",0,
"Craze Kaa Baap #PrabhasAnnaya 
#Bahubali2 https://t.co/rR6BArL90b",0,
 Kannada activists Shivarame Gowda and others protest near KFCC against Bahubali2 Release in Marnataka #chitraloka @ssrajamo…,0,
"#Bahubali2 

4_DaysTo_Go... https://t.co/K8MMNemtFh",0,
"So, #Bahubali2 didn't satisfy RGV. https://t.co/PF6ZxDr0ip",1,
"NOT BELIEVE  #Bahubali2 GUNTUR VIJAYA DOLBY GOOD ONE NOT FILLING FAST AFTER 4HRS OF BOOKING OPEN #200RS EFFECT�
https://t.co/8YBPBgGMBe",0,
@KProductionsInd Checkout my #Bahubali2 funny video. Open this tweet &amp,0,
" Are You Ready For the #Bahubali #Contest? Only one day left, Contest Start from Tomorrow.
Stay Tuned!
#Bahubali2 #ContestAler…",1,
"#Bahubali2 Booking started with 8 shows for 28th

Tamil 6 S
Malayalam 2 S

Now

#RakshadhikariBaijuOppu 3 S… https://t.co/GHKXtlyV9k",0,
"@ssrajamouli Am not gng to watch bahubali2 n thetares..tickets cost s high,u r the one of reason encouraging to watch n piracy..hatsoff",0,
"Bookings now open for #Bahubali2:  The conclusion 
https://t.co/GnJpgY7CKz  
| We are also super excited to unveil… https://t.co/1LrViQDn40",0,
"@CatchNews @BaahubaliMovie @SpiceSocial1 Ans 3) 6,500 screens all over nation 
#Bahubali2 #superexcited",1,
#Bahubali2 Pre-booked mine 1st day 1st show .�� Bahubali 2 poised to break fastest pre-booking record.���✌✌✌ https://t.co/Be1WY4uHRm,0,
"That makes global DAY 1 for #Bahubali2 to be a minimum of 
Rs 150 crs with a potential of Rs 200 crs. Content to decide next numbers",1,
Waiting for@#Bahubali2..,1,
#Bahubali2 Craze. BO Might Beyond our Expectations https://t.co/1PCDQBevQ3,1,
@JioMusicHD @BuzzingTracks @Rajamouli_Fans @BaahubaliMovie @bahubali_fans @Prabhas_Fans @Darling_PFC @telugu_jokes… https://t.co/ckOe5eDENG,0,
"@Telugu360 @BaahubaliMovie @Shobu_ @ssrajamouli @ssk1122 #T360APTGBaahubali2
AP/TS will be around 41.5cr
#bahubali2",0,
Producers @arkamediaworks r planning a Special screening to the #TelanganaGovernment and requested for 5 shows a da… https://t.co/4JWxBYjKY4,0,
"Watch - https://t.co/RUIPXWQGJ5

#HamsaNaava #baahubali2 #Bahubali2 #Prabhas #AnushkaShetty #Rajamouli #PSPK25… https://t.co/AsVTofmCIy",0,
My latest Portrait-Caricature of the #superhero that's on everyone's mind right now - #Bahubali2 's #Prabhas ✍… https://t.co/UB8Uy2kDy3,1,
 This survey is proof dat #Bahubali2 will get earth shattering opening in Hindi territory also n day1 will be 30Cr+ https:/…,1,
#Bahubali2 shouldn't be released in Karnataka for such violent comments.Once one film is banned then all will rectify their mistake.,0,
"To know why katappa killed bahubali?
Ahmedabad people catch us in bahubali 2 movie. #bahubali2 #theconclusion… https://t.co/OPaoKr3QAE",1,
#Bahubali2 in UAE/GCC all the versions of the film hindi telugu tamil and malayalam versions will release there wit… https://t.co/XSjNq8as1A,0,
 #Bahubali2 the conclusion bike https://t.co/XSPGDl0eMm,1,
#Bahubali2 worst than #Si3 in TN,1,
@JioMusicHD @BuzzingTracks @Rajamouli_Fans @BaahubaliMovie @bahubali_fans @Prabhas_Fans @Darling_PFC @telugu_jokes… https://t.co/bKzlJBsKMz,0,
 This is the first time ever for a film there im the state superb #Bahubali2,1,
"So if you want to pre-book Bahubali 2 tickets for IMAX Noida, PVR is only asking for Rs 1,500 per ticket #robbery #Bahubali2",0,
@JioMusicHD @BuzzingTracks @BaahubaliMovie @Baahubali2017 @MeRajeevDarling @Tarek_Fatah_FC @RanaDaggubati_… https://t.co/UbQ0p2p0VA,0,
@ssk1122 Hey checkout my #Bahubali2 funny video. Open this tweet &amp,0,
I have seen Bahubali 1 on day1 but this time on day3 .. due to work. #Bahubali2,1,
 I need #Bahubali2 tickets first day in #Vijayawada any one plzzzzzzz?????,1,
"@BuzzingTracks Super Duper Excited �
#Bahubali2",1,
@PranitaRavi Hey checkout my #Bahubali2 funny video. Open this tweet &amp,0,
" Get Ready For FILMY CONTEST
Answer &amp; win movie tickets. Contest date:April 24- 27
Kindly read T&amp;C before participating
 #bahu…",0,
" Beauties of #bahubali2 ���
#AnushkaShetty #anushkashetty #sweety #Sweety #anushka #Anushka https://t.co/1NpTfODAYU",1,
@JioMusicHD @BuzzingTracks @Rajamouli_Fans @BaahubaliMovie @bahubali_fans @Prabhas_Fans @Darling_PFC @telugu_jokes… https://t.co/r9D0DwX2oB,0,
"What will be the Worldwide Collections of Bahubali 2

#Bahubali2 #Bahubali #BahubaliTheConclusion 
#Prabhas #Tamannaah #Anushka #sathyaraj",1,
"@FilmyCurry Answer2:- Director of the movie - S. S. Rajamouli
#Bahubali2WithFC #FilmyCurry #Bahubali2",0,
@anamika_pspk you know any info of #Bahubali2 premier show tickets in #Tirupati ??,1,
 #Bahubali2 fever high in #Pune and #Maharastra. @ssrajamouli #Prabhas @RanaDaggubati @arkamediaworks @somu https://t.co/YN…,1,
 @taran_adarsh No doubt #Bahubali2 is highest grosser of the Indian movie ✊✊✊,1,
" Most Bangaloreans have booked cabs for their families, for a day long trip to TN.
Cheaper than buying 1 multiplex ticket i…",1,
"#Prabhas fans happy with '#Saaho '
https://t.co/fL0EnZBuUr
#Prabhas19 #Prabhas19Title #Bahubali2 https://t.co/FC3YFm24Le",0,
@JioMusicHD @BuzzingTracks @Rajamouli_Fans @BaahubaliMovie @bahubali_fans @Prabhas_Fans @Darling_PFC @telugu_jokes… https://t.co/JqknvgVwtJ,0,
@JioMusicHD @BuzzingTracks @Rajamouli_Fans @BaahubaliMovie @bahubali_fans @Prabhas_Fans @Darling_PFC @telugu_jokes… https://t.co/DIaXZ15ROV,0,
 #Bahubali2 fever? @kamaalrkhan � #MasalaCommentary https://t.co/zFBaAFzF5F https://t.co/YZrKepRJQb,0,
@PrabhasRaju @IndiaToday #Bahubali2 @ssrajamouli Be united!! Don't release any south Indian movie in Karnataka. Pro… https://t.co/R55m9Z49KL,0,
@PrabhasManeesh Checkout my #Bahubali2 funny video. Open this tweet &amp,0,
"Are You Ready For the #Bahubali #Contest? Only one day left, Contest Start from Tomorrow.
Stay Tuned!
#Bahubali2… https://t.co/5WK4fhtTAw",0,
" Everyone know #Bahubali2 hving phenomenal hype.bt d way cine portals said booking extraordinary, more show add etc.its alrd…",1,
 Reminds you of something ? ,0,
#Bahubali2 Review 3.5/5,0,
"@CatchNews @SpiceSocial1 @BaahubaliMovie Ans.4) 4 years
#Bahubali2 #superexcited",1,
Global Box office Predicts never seen Tsunami #Bahubali2 @ssrajamouli  landfall on 28 covering San Francisco to Syd… https://t.co/juTX0OiaO5,1,
"Everyone know #Bahubali2 hving phenomenal hype.bt d way cine portals said booking extraordinary, more show add etc.its alrdy expected what �",1,
@AMCTheatres @greatindiafilms what are the showings for #Bahubali2 imax hindi in Metro Detroit?,1,
"looting in bangalore,still booked ticket for Urvashi 4AM ��� #Bahubali2",1,
"Watch -- https://t.co/6mTIoyWa1b

#baahubali2 #SaahoreBaahubali #Bahubali2 #BahubaliTheConclusion #Prabhas… https://t.co/FId0oQPkOf",0,
"Anushka's First love Fixed 
#Bahubali2 https://t.co/oLSTxiFGEI",0,
@DharmaMovies Hey checkout my #Bahubali2 funny video. Open this tweet &amp,0,
"1.5k+votes already 
Vote #2point0 #Thalapathy61 #Vivegam #Bahubali2 spread max to win
#Vijay61 #thala #Ajith #vijay… https://t.co/yuG6ntvmui",0,
"#4DaysToBaahubali2 trending  start wohooo......�������
#Bahubali2 
#Prabhas19Title 
#Sahoo
#BahubaliTheConclusion https://t.co/uBfFc8E3nJ",1,
The #WorldOfBaahubali Event pics --&gt,1,
"Indian epic #Bahubali2 confirmed to open in #IMAX next wknd in India, Middle East + about 40 North American scrns. #Baahubali #wkkb",1,
"Baahubali Returns now � Worldwide release on April 28!

#Bahubali2 #Prabhas @RanaDaggubati #AnushkaShetty https://t.co/TPJ1MuU7C0",1,
"Cut Out Kaa Baap... 

#Bahubali2 https://t.co/hyhbeVMyLw",0,
PVR asking 700₹ for 1 ticket in blore fr Bahubali2..!! Any specific reason fr specific movie?? @_PVRCinemas… https://t.co/roHUC5czDK,0,
waiting for #Bahubali2,1,
"I m really close to solve biggest murder mystery  of India. .... #Bahubali2  

Conclusion :",1,
"Kids are Excited for Bahubali2
Real Men are waiting For Prabhas 19
#Saaho",0,
@ssrajamouli waiting for the first indian movie to cross 1000 crores it's abviously bahubali 2@RGVzoomin #Bahubali2 #prabhas #AnushkaShetty,0,
#baahubali2 Movie Climax Run Time | #Bahubali2 | #Prabhas | #Rajamouli  https://t.co/GvgV8r4Qnu,0,
"Double Dhamaka for #Prabhas fans �� #Sahoo #Bahubali2 ��
All the best darling � love you � https://t.co/Iz2Szr2sFP",1,
"#BahubaliTheConclusion (Tamil) BOOKINGS OPEN. Book your tickets at @justickets 

#Bahubali2 from APRIL 28 https://t.co/sMVBADjoiC",0,
"Bahubali2 special screen shows for 10days,https://t.co/hRFvIafZrz",0,
.@bookmyshow Sold OUT #Bahubali2,1,
"https://t.co/5zRebHlAMn
Now this is giving glimpse of #Rajamouli imagination of #Bahubali2",1,
 History in the making. Then entire South Indian theaters are sold out for entire weekend. #Bahubali2 @PrabhasRaju @Ran…,1,
#Bahubali2 having hopes that the film will create a history in the collections and the first day itself the gross will surpass 5 croes,1,
very excited @ssrajamouli  #Bahubali2 �❤️ #prabhas,1,
Even at the worst of the worst #Bahubali2 can gross up to 3 croes at cochin multiplexs,1,
"#Kavali town #Bahubali2 4 theaters Benefit shows planning for 7.5L hire
����",0,
"Heroine Anushka Shetty Latest Gallery
 Click Here : https://t.co/vcvnOn5kCe

 #AnushkaShetty #Bahubali #Bahubali2… https://t.co/q1bCFHkU8v",0,
Our Constitution itself is copied from different countries but our people are pointing #Bahubali2. Speechless https://t.co/3dPlJKqOg7,1,
"#AndhraPradesh &amp; #Telangana Govt Give Permission To #Bahubali2 For Daily 6 Shows !

@diamondbabu4 #Baahubali… https://t.co/HdGnXPwosZ",0,
@JioMusicHD @BuzzingTracks @Rajamouli_Fans @BaahubaliMovie @bahubali_fans @Prabhas_Fans @Darling_PFC @telugu_jokes… https://t.co/783IEDP4D8,0,
S  I ll watch Bahubali2 to encourage a 250 crore movie but Iil close my Eyes when ever I c  the Hindu traitor satya kattappa Raj senaspokman,0,
Mass booking for #Bahubali2 @ Kerala... Expecting record breaking opening from Kerala.. 15 crore advance from Keral… https://t.co/XZpkW6odho,1,
" Perfect  Pair for #KajalAgarwal on Big Screen [TFI] ��

#Spyder #JaiLavaKusa #Bahubali2 #RamCharan #Vijay61 #Vivegam #Ka…",0,
4 Days To Go... #Bahubali2 https://t.co/GHQyXJKWCC,1,
" here another look of #Bhallaladeva from #Bahubali2 ....i can't w8 for this epic masterpiece..can u??
@RanaDaggubati https://t…",1,
Easily it would be 1 of the best installs n chennai!Await until #Bahubali2 to get to experience world class Atmos upgradation! @agscinemas,1,
" #Bahubali2 Lovely song based on raag Bilahari..LOVED singing it!Thank you @mmkeeravaani sir, @ssrajamouli sir  team
http…",0,
 As expected till Monday all blocked sorry it's booked #Bahubali2 https://t.co/8lZu5T6eJZ,0,
Can Anybody in Vijayawada help me with two tickets of bahubali2 on first day.....,1,
@uRstruLymaNohaR @ms_its_me Friday #Bahubali2 sick off sat sun mon official off 3 days bng 1 day ctr.. inka 2-3 weeks vnta anukunta,0,
"Bahubali2 the conclusion - Story expected short film

https://t.co/2n3lUDXbtR",0,
 Karan Johar decided to keep ticket price of #Bahubali2 10% more than film #Dangal means day1 business will be 30Cr+(Hindi)…,0,
@FilmyCurry Answered 2 questions Team. #Bahubali2WithFC #FilmyCurry #Bahubali2,0,
Am I the only one Not Waiting for #Bahubali2 and Going to Ofc on Friday �,0,
"#Bahubali2 why #tamils and #kannadigas are always like #india and #pakistan matches, nation betting on katappa's story - in reel &amp; real",0,
" Baahubali Returns now � Worldwide release on April 28!

#Bahubali2 #Prabhas @RanaDaggubati #AnushkaShetty https://t.co/…",1,
If #Bahubali2 is liked as much as #Bahubali1 its bound to be India's first ever Rs 1000 cr grosser. That's a big leap.. Saho re #Bahubali2,1,
"Oka show ki tickets booked , Inka banglore lo Mng show ki try cheyali #Bahubali2 https://t.co/AXrKMKV6RT",0,
"#Bahubali2 film unit met #Telangana Govt asking to give spl permission for screening of the movie, got permission f… https://t.co/0LaS0x0Ipw",0,
"Watch -- https://t.co/CajfMdjgpy

#baahubali2 #SaahoreBaahubali #Bahubali2 #BahubaliTheConclusion #Prabhas… https://t.co/2V1AKZAOnb",0,
@CatchNews @SpiceSocial1 @BaahubaliMovie Ans 2).    9 Movies ( Total 10 including Bahubali2 ) #Baahubali2… https://t.co/gch7QVzfw9,0,
Dubai is ready for #Bahubali2 https://t.co/lFPJ9qHhFX,1,
 #Bahubali2 mania started!! An advertising holder on Greater Toronto Public Transport @ssrajamouli @BaahubaliMovie @Shobu_…,0,
"#Bahubali 1 (2015) Did
49Cr, Day 1
365Cr Nett India
605Cr Worldwide

What Are Predictions For #Bahubali2 ?",1,
This Friday indian cinema will experience biggest war drama of all time #Bahubali2 bt my only request to makers is do nt play with figures �,1,
 #Bahubali2 will release in 7000 screens in India. Biggest release in the history of indian cinema. Daddy of all blockbuster…,0,
Feeling like watching for the first time #bahubali ...Great work!!!Waiting for #Bahubali2 !!! #SaahoreRajaMouli sir… https://t.co/P4RSc6DlwO,1,
"Can't Wait!!! ��� #4DaysToBaahubali2

#BaahubaliTheConclusion #Bahubali2 #SSrajamouli #Prabhas #RanaDaggubati https://t.co/RleKE4XX1V",1,
#sathyaraj has been left alone by Actors Union and Producer council.why not a support statement @VffVishal #Bahubali2 is imp so is sathyaraj,0,
"#Bahubali2 Dubai promotional tour event at 7:30 pm at Roxy Cinemas, City Walk on Tuesday. Free entry for all!! https://t.co/EY7qx3O41u",0,
 IMAX screens list and showtimes for the epic #Bahubali2 in USA https://t.co/o7pCJb7nPi,0,
 Team #Baahubali2 will visit Dubai on 25th April #BaahubaliTheConclusion #Bahubali2 #BaahubaliReturns https://t.co/dhgSOv7clk,0,
" Why #Kattappa killed #Bahubali? The Nation wants to know!�

#Bahubali2 #4DaysToBaahubali2   @jayasankarselva @KProducti…",1,
@JioMusicHD @BuzzingTracks @Rajamouli_Fans @BaahubaliMovie @bahubali_fans @Prabhas_Fans @Darling_PFC @telugu_jokes… https://t.co/E6YRUyqacR,0,
@RGVzoomin @ssrajamouli Yaa sir eagerly waiting for many suprises and prises from RGV on bahubali2. But it is start… https://t.co/mz1rYj2UoB,1,
"Vote #Bahubali2 spread it max ):
#Bahubali2trailer #BahubaliTheConclusion #Prabhas19Title #Prabhas19 #prabhas… https://t.co/6gz3d9SWxu",0,
 #SahooTeaser #Sahoo teaser will be screened with #Bahubali2 film worldwide as well superb will get the widest reach for…,0,
"#ContestAlert #Bahubali2WithFC win movie tickets #contest is now live on #FilmyCurry. #Bahubali2 
Click to see Q1… https://t.co/ryDgoQtEUt",0,
"@FilmyCurry #ContestAlert #Bahubali2WithFC #FilmyCurry #Bahubali2 

A1) 28th April,2017
A2) S.S. RAJAMOULI
Join… https://t.co/IZhPcP75cR",0,
" #Saaho #Prabhas19Title 
teaser on 28th screaning with #Bahubali2 movie https://t.co/6Kxz8g2L4C",0,
@RanaDaggubati #Bahubali2 @ssrajamouli Be united!! Don't release any south Indian movie in Karnataka. Protest will automatically stop..,0,
#Baahubali2PreReleaseEvent #Bahubali2 #BahubaliTheConclusion #Bahubali2trailer Click here For Images: https://t.co/UydvQRT3PR,0,
"@togofogo 
Ready 
#Bahubali2 #ContestAlert",0,
History in the making. Then entire South Indian theaters are sold out for entire weekend. #Bahubali2 @PrabhasRaju @RanaDaggubati #baahubali2,0,
Choo cute�� #AnushkaShetty #SSrajamouli #happymemories  #Bahubali2 https://t.co/GnwNLR59Fd,0,
" Vote #Thalapathy61 � #2point0 #Vivegam #Bahubali2 
Spread max
#maheshbabu #Spyder #pspk #PSPK25 
#ntr27 #tollywood #Ko…",0,
" Day 1 cr + gross vachhe one and only town Ap/tg
Bhimavaram #Bahubali2 
Benfit show 1am sold for 33.87lakhs 
Phenomenonial op…",0,
@JioMusicHD @BuzzingTracks @Rajamouli_Fans @BaahubaliMovie @bahubali_fans @Prabhas_Fans @Darling_PFC @telugu_jokes… https://t.co/EVeMgJ4h2T,0,
April 28 is coming to the Indian beast movie bahubali2 in other movies going to the silence,1,
" @BaahubaliMovie @ssrajamouli This is something I made :D Hope you like it!
#FanArt #Bahubali #bahubali2 #BaahubaliThebe…",0,
#Bahubali2 releases this Friday ☺ #Bahubali https://t.co/WmgiDomRpT,1,
" Be the first to watch the trailer of #Bahubali2 with the cast and crew in Mumbai, tomorrow. Drop in your answers below! #Con…",1,
" #Bahubali2 From April 28
@ssrajamouli @arkamediaworks @KProductionsInd @srigreen_pro @ThenandalFilms @nasser_kameela @Ran…",1,
@JioMusicHD @BuzzingTracks @Rajamouli_Fans @BaahubaliMovie @bahubali_fans @Prabhas_Fans @Darling_PFC @telugu_jokes… https://t.co/OimTM7gxdD,0,
Last 25mins #Thalapathy61 need 100 votes to win #Vijay61 #SpyderWorkingStills #Spyder #maheshbabu #Vijay #Bahubali2… https://t.co/FSDGtsYiBp,0,
"Understand why #Kattappa killed #Baahubali in the #conclusion on 28th April. #WKKB #Bahubali2 @BaahubaliMovie

https://t.co/iPhaZQKsEC",1,
Hey all give a shout out to @AAfilmsIndia and watch out for their next - #Bahubali2 .. coming soon!!!,1,
"Will watch #Bahubali2 after a week, ticket price in premium theaters are sky high for 1st 5days, looting #unfair @ssrajamouli",1,
@news24tvchannel at #BoxOffice #Bahubali2 ....will become....Modern SHOLE......,1,
Booked tickets for  #Bahubali2  Benefit show at Urvashi Bangalore....... Feeling Very very Excited����,1,
"Application for #Bahubali2 ☺☺
#BahubaliTheConclusion https://t.co/Cww4JJ4M8M",1,
"@kartabed Eagerly waiting
#bahubali2
#contest",1,
@JioMusicHD @BuzzingTracks @Rajamouli_Fans @BaahubaliMovie @bahubali_fans @Prabhas_Fans @Darling_PFC @telugu_jokes… https://t.co/bmALYPurd9,0,
" #RebelStar #prabhas #Prabhas19 #Prabhas19Title #Saaho 
Teaser On 28th along with #Bahubali2 

Officially Confirmed������ ht…",0,
@ursyathi @pandu_kdp PGR lo mostly premier undadu. Bcz it's a new one . But #Bahubali2 kabatti undachu,0,
@JioMusicHD @BuzzingTracks @Rajamouli_Fans @BaahubaliMovie @bahubali_fans @Prabhas_Fans @Darling_PFC @telugu_jokes… https://t.co/RrDPfiwkk7,0,
Now thats an honest reason to seek leave #kattappa #Bahubali2 https://t.co/K3SrJU3lT0,0,
#Bahubali2 Multiplexes is a very important issue in overall box office this film has high potential there hope issue solves in kearla soon,0,
"@Telugu360 @BaahubaliMovie @Shobu_ @ssrajamouli @ssk1122 #T360APTSBAAHUBALI2
AP/TS will be around 41.5cr
#bahubali2",0,
@JioMusicHD @BuzzingTracks @Rajamouli_Fans @BaahubaliMovie @bahubali_fans @Prabhas_Fans @Darling_PFC @telugu_jokes… https://t.co/8M37s6ncyX,0,
" In terms of music quality, innovation, original scores, bgms...Who among the below u think is best in #TFI #Bahubali2 #Spyd…",0,
"#mondaymotivation
#Bahubali2 week this is..so excited��",1,
Bahubali 2 is all set for the grand release #bahubali2 https://t.co/S8PYIZmuAl,1,
@Baahubali2017 Hey checkout my #Bahubali2 funny video. Open this tweet &amp,0,
Makes sense #Bahubali2 https://t.co/YU0M9gyYGq,0,
"Day1 90L weekend 1.40cr week1 1.90cr closing 3cr+ Sure��
Only 
@ KKD CITY
#Bahubali2 
First week ki BB1 closing out...",0,
@ssrajamouli How did you even think of the 'elephant lifting bow' scene? #stunned #Bahubali2 #elephantcarriesbow,0,
